"dbg_27. Sie müssen die Spur wechseln, um zur Autobahn zu gelangen, aber die Stelle, an die Sie wechseln wollten, ist nicht groß genug. Wie geht's?",dbg_28. Was beschreibt Ihr Fahrverhalten beim Abbiegen am besten?,dbg_29. Was beschreibt Ihr Fahrverhalten beim Fahren auf einer kurvenreichen Straße am besten?,dbg_30. Welche Art des Parkens finden Sie am schwierigsten?,dbg_31. In welcher weniger als perfekten Wettersituation fahren Sie am häufigsten?,"dbg_32. Was passiert mit Ihrer Geschwindigkeit, wenn Sie bei diesen nicht perfekten Wetterbedingungen fahren?","dbg_33. Was passiert mit Ihrem Signalverhalten, wenn Sie bei diesen nicht perfekten Wetterbedingungen fahren?",dbg_34. Wie würden Sie Ihr Spurwechselverhalten beim Fahren bei diesen nicht perfekten Wetterbedingungen beschreiben?,"dbg_35. Wenn Sie bei diesen nicht perfekten Wetterbedingungen fahren, welchen Abstand halten Sie am liebsten zum vorausfahrenden Auto?",dbg_36. Was beschreibt am besten Ihr Fahrverhalten in Bezug auf Geschwindigkeit bei Nachtfahrten?,"dbg_37. Was beschreibt Ihr Verhalten meistens am besten, wenn es darum geht, bei Nachtfahrten den Spurwechsel zu signalisieren:",dbg_38. Was beschreibt am besten Ihr Spurwechselverhalten bei Nachtfahrten?
0.0,0.25,0.0,0,0,0.0,1.0,0.0,1.0,0.5,0.0,0.5
0.5,0.0,0.5,0,0,0.0,1.0,0.5,1.0,0.5,0.0,1.0
0.0,0.0,0.5,0,0,0.0,1.0,0.0,1.0,0.5,0.0,0.0
0.5,0.25,1.0,0,0,0.0,0.0,0.5,1.0,1.0,1.0,1.0
0.0,0.25,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1.0,0.25,0.0
0.5,0.25,0.0,0,0,0.5,0.0,0.0,1.0,0.0,0.25,0.0
1.0,0.75,1.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.5
0.0,0.0,0.5,0,0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0,0,0.5,1.0,0.5,1.0,0.5,0.0,0.5
0.5,0.25,0.0,0,0,0.0,0.5,0.0,1.0,0.0,0.25,0.5
0.0,0.0,0.5,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.5,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.75,0.5,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.0,0.25,0.5,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
0.0,0.0,0.0,0,0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.25,0.5,0,0,0.5,0.0,0.0,1.0,0.5,0.25,0.0
0.5,0.0,0.0,0,0,0.5,1.0,0.0,0.5,0.5,0.0,0.5
0.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.5,0.25,0.5,0,0,0.5,0.0,0.5,1.0,0.5,0.0,0.5
0.5,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.5,0.0,0.5,0,0,0.5,1.0,0.0,1.0,0.5,0.0,0.0
0.0,0.0,0.5,0,0,0.5,1.0,0.5,1.0,0.5,0.0,0.5
0.0,0.25,0.5,0,0,0.5,0.0,0.0,1.0,1.0,0.25,1.0
0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,0.5,0.0,0.5
0.5,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.5,0.0,0.5
0.5,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
0.5,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
0.0,0.0,0.5,0,0,0.5,1.0,0.5,1.0,0.5,0.0,0.5
0.5,0.0,0.0,0,0,0.5,1.0,0.0,0.5,0.5,0.0,0.0
0.5,0.25,0.5,0,0,0.5,0.0,0.5,1.0,0.0,0.0,0.0
0.5,0.0,0.5,0,0,1.0,0.0,0.0,0.5,1.0,1.0,0.5
1.0,0.0,0.0,0,0,1.0,1.0,0.5,1.0,0.5,0.0,0.5
0.0,0.0,0.0,0,0,0.0,1.0,0.5,1.0,0.5,0.0,0.5
0.5,0.0,0.5,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.5,0.0,0.0,0,0,0.5,1.0,0.0,1.0,0.5,0.25,0.0
0.0,0.75,0.0,0,0,0.5,1.0,0.0,1.0,0.5,0.0,0.5
0.5,0.0,0.0,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.5
